sim.id,variable,measurement,method,value
13,mu,sd,mcmc,0.0537658806467214
13,mu,effsize,mcmc,1613.51909956845
13,tau,mean,mcmc,1.72704583994203
13,tau,sd,mcmc,0.227924367659788
13,tau,effsize,mcmc,640.829869584437
13,log_tau,mean,mcmc,0.537869938962223
13,log_tau,sd,mcmc,0.130435257735553
14,mu,mean,truth,1.7938298834857
14,tau,mean,truth,1.64277412985271
14,log_tau,mean,truth,0.496386355382354
14,mu,mean,mfvb,1.79047061949374
14,tau,mean,mfvb,1.8987887212488
14,log_tau,mean,mfvb,0.639230728505646
14,mu,sd,mfvb,0.0335918897747049
14,tau,sd,mfvb,0.119612446397111
14,log_tau,sd,mfvb,0.0630566245743312
14,mu,sd,lrvb,0.0485789893244293
14,tau,sd,lrvb,0.22667293245069
14,log_tau,sd,lrvb,0.11941066486913
14,mu,mean,mcmc,1.78941773622039
14,mu,sd,mcmc,0.049152162592323
14,mu,effsize,mcmc,1208.73988302339
14,tau,mean,mcmc,1.84301630355927
14,tau,sd,mcmc,0.230855486883954
14,tau,effsize,mcmc,802.212450577638
14,log_tau,mean,mcmc,0.603644852066573
14,log_tau,sd,mcmc,0.124571083626242
15,mu,mean,truth,0.814379492173188
15,tau,mean,truth,1.15664649279574
15,log_tau,mean,truth,0.145524863751589
15,mu,mean,mfvb,0.789831867044565
15,tau,mean,mfvb,1.38088050987501
15,log_tau,mean,mfvb,0.320735907100062
15,mu,sd,mfvb,0.0393899580606308
15,tau,sd,mfvb,0.0869872957006039
15,log_tau,sd,mfvb,0.0630566245743312
15,mu,sd,lrvb,0.0578206632285204
15,tau,sd,lrvb,0.155529460943456
15,log_tau,sd,lrvb,0.112665637505159
15,mu,mean,mcmc,0.788429535675243
15,mu,sd,mcmc,0.0586677160380797
15,mu,effsize,mcmc,1328.99338307555
15,tau,mean,mcmc,1.30332596763625
15,tau,sd,mcmc,0.152871517901432
15,tau,effsize,mcmc,948.375069337961
15,log_tau,mean,mcmc,0.258110650416592
15,log_tau,sd,mcmc,0.116642589806495
16,mu,mean,truth,1.41812093077275
16,tau,mean,truth,1.08967359177036
16,log_tau,mean,truth,0.0858781943034091
16,mu,mean,mfvb,1.37121428523355
16,tau,mean,mfvb,1.37837456533089
16,log_tau,mean,mfvb,0.318919514512349
