sim.id,variable,measurement,method,value
14,log_tau,sd,lrvb,0.199399228017255
14,mu,mean,mcmc,0.38167830087981
14,mu,sd,mcmc,0.0445205150561736
14,mu,effsize,mcmc,745.863774833098
14,tau,mean,mcmc,4.47706895980086
14,tau,sd,mcmc,1.09954793310996
14,tau,effsize,mcmc,199.888935482357
14,log_tau,mean,mcmc,1.4713533534338
14,log_tau,sd,mcmc,0.232016813146655
15,mu,mean,truth,1.72930502726932
15,tau,mean,truth,1.60069341394134
15,log_tau,mean,truth,0.470436919075477
15,mu,mean,mfvb,1.62384225601552
15,tau,mean,mfvb,1.83467141712938
15,log_tau,mean,mfvb,0.604879962002593
15,mu,sd,mfvb,0.0332175839769353
15,tau,sd,mfvb,0.115573435886733
15,log_tau,sd,mfvb,0.0630566245743312
15,mu,sd,lrvb,0.0479068015561173
15,tau,sd,lrvb,0.210488744012008
15,log_tau,sd,lrvb,0.114762660148534
15,mu,mean,mcmc,1.62301993035955
15,mu,sd,mcmc,0.0478875599093664
15,mu,effsize,mcmc,1398.62614943433
15,tau,mean,mcmc,1.79020947329816
15,tau,sd,mcmc,0.2066498393853
15,tau,effsize,mcmc,830.461780955962
15,log_tau,mean,mcmc,0.57567860764831
15,log_tau,sd,mcmc,0.115570068847111
16,mu,mean,truth,0.581437214540507
16,tau,mean,truth,8.01733761451433
16,log_tau,mean,truth,2.08160639849971
16,mu,mean,mfvb,0.573104285165451
16,tau,mean,mfvb,5.09131287830776
16,log_tau,mean,mfvb,1.625550290938
16,mu,sd,mfvb,0.0199340349256138
16,tau,sd,mfvb,0.320722564829113
16,log_tau,sd,mfvb,0.0630566245743312
16,mu,sd,lrvb,0.0424876871890291
16,tau,sd,lrvb,1.10639715660474
16,log_tau,sd,lrvb,0.217328915828916
16,mu,mean,mcmc,0.574954383623675
16,mu,sd,mcmc,0.0429726952353572
16,mu,effsize,mcmc,732.480618145992
16,tau,mean,mcmc,5.58991675704849
16,tau,sd,mcmc,1.5102528166191
16,tau,effsize,mcmc,169.546416438804
16,log_tau,mean,mcmc,1.68707204807718
16,log_tau,sd,mcmc,0.257945045768541
17,mu,mean,truth,1.74079065377526
17,tau,mean,truth,1.46347121786465
17,log_tau,mean,truth,0.380811160311146
17,mu,mean,mfvb,1.77168763299985
17,tau,mean,mfvb,1.80002844596284
17,log_tau,mean,mfvb,0.585817028854581
17,mu,sd,mfvb,0.0335356743553505
17,tau,sd,mfvb,0.113391133829993
17,log_tau,sd,mfvb,0.0630566245743312
17,mu,sd,lrvb,0.0480998364506129
17,tau,sd,lrvb,0.206066255391434
17,log_tau,sd,lrvb,0.11451387250701
17,mu,mean,mcmc,1.76972117248619
17,mu,sd,mcmc,0.0485449470340406
17,mu,effsize,mcmc,1412.31337020777
17,tau,mean,mcmc,1.74304916216909
17,tau,sd,mcmc,0.207466023529979
17,tau,effsize,mcmc,941.314754706948
17,log_tau,mean,mcmc,0.548567866072376
17,log_tau,sd,mcmc,0.11908973915948
18,mu,mean,truth,2.40177830888031
18,tau,mean,truth,1.52489974874758
18,log_tau,mean,truth,0.421928669372329
18,mu,mean,mfvb,2.44611673142767
18,tau,mean,mfvb,1.32414763868285
18,log_tau,mean,mfvb,0.278783521641919
18,mu,sd,mfvb,0.039099368787411
18,tau,sd,mfvb,0.0834134607401941
18,log_tau,sd,mfvb,0.0630566245743312
18,mu,sd,lrvb,0.0540815951717894
18,tau,sd,lrvb,0.135879414564593
18,log_tau,sd,lrvb,0.102654921258165
18,mu,mean,mcmc,2.44731323746293
18,mu,sd,mcmc,0.0538000190852438
18,mu,effsize,mcmc,1273.59925668441
18,tau,mean,mcmc,1.28954906003861
18,tau,sd,mcmc,0.134726441214101
18,tau,effsize,mcmc,898.831395511745
18,log_tau,mean,mcmc,0.248845505412123
18,log_tau,sd,mcmc,0.104490225443747
19,mu,mean,truth,2.94814176116477
19,tau,mean,truth,1.42501304616312
19,log_tau,mean,truth,0.354180968880895
19,mu,mean,mfvb,2.97598871844348
19,tau,mean,mfvb,1.52239854292384
19,log_tau,mean,mfvb,0.418301640672448
19,mu,sd,mfvb,0.0364651575814306
19,tau,sd,mfvb,0.0959020938310399
19,log_tau,sd,mfvb,0.0630566245743312
19,mu,sd,lrvb,0.0505871137555682
19,tau,sd,lrvb,0.156140110019085
19,log_tau,sd,lrvb,0.102600342842951
19,mu,mean,mcmc,2.97403656506353
19,mu,sd,mcmc,0.0501699303312784
19,mu,effsize,mcmc,1365.65982397652
19,tau,mean,mcmc,1.49358812116546
19,tau,sd,mcmc,0.153641128014802
19,tau,effsize,mcmc,1121.68464706613
19,log_tau,mean,mcmc,0.395893211267838
19,log_tau,sd,mcmc,0.103019953922152
20,mu,mean,truth,1.47735002226444
20,tau,mean,truth,7.28824258224858
20,log_tau,mean,truth,1.98626244456406
20,mu,mean,mfvb,1.50089790688741
20,tau,mean,mfvb,6.35355532807604
20,log_tau,mean,mfvb,1.84702911117218
20,mu,sd,mfvb,0.0178506120419025
20,tau,sd,mfvb,0.400236365218539
20,log_tau,sd,mfvb,0.0630566245743312
20,mu,sd,lrvb,0.0307891125967857
20,tau,sd,lrvb,1.08391596207668
20,log_tau,sd,lrvb,0.170623014139432
20,mu,mean,mcmc,1.50266837000544
20,mu,sd,mcmc,0.0308711963746152
20,mu,effsize,mcmc,943.994761144142
20,tau,mean,mcmc,6.87282814237786
20,tau,sd,mcmc,1.28904586654542
20,tau,effsize,mcmc,378.516082964557
20,log_tau,mean,mcmc,1.91052251477067
20,log_tau,sd,mcmc,0.184197501371038
-1,analysis,n,truth,500
-1,analysis,mcmc_iters,truth,20000
-1,analysis,mu_prior_var,truth,10
-1,analysis,tau_prior_alpha,truth,1
-1,analysis,tau_prior_beta,truth,1
