sim.id,method,component,x
6,mfvb,3,0
6,mfvb,4,0
6,mfvb,5,0.00308651441091316
6,mfvb,6,0
6,mfvb,7,0
6,mfvb,8,0
6,mfvb,9,0
6,mfvb,10,0
6,mfvb,11,0
6,mfvb,12,0.00889176411508674
6,mfvb,13,0
6,mfvb,14,0
6,mfvb,15,0.00889176411508674
6,mfvb,16,0
6,mcmc,1,0
6,mcmc,2,0.00840121095729971
6,mcmc,3,0.001136941250137
6,mcmc,4,0.000487162572425642
6,mcmc,5,0.00840121095729971
6,mcmc,6,0
6,mcmc,7,0.003693632357361
6,mcmc,8,0.00157728930712396
6,mcmc,9,0.001136941250137
6,mcmc,10,0.003693632357361
6,mcmc,11,0
6,mcmc,12,0.0387227546740141
6,mcmc,13,0.000487162572425642
6,mcmc,14,0.00157728930712396
6,mcmc,15,0.0387227546740141
6,mcmc,16,0
7,lrvb,1,0
7,lrvb,2,0.0092819379270968
7,lrvb,3,0.000730819401532102
7,lrvb,4,0.000336363510009553
7,lrvb,5,0.00928193792709679
7,lrvb,6,0
7,lrvb,7,0.00271512597988609
7,lrvb,8,0.00124965114883103
7,lrvb,9,0.000730819401532418
7,lrvb,10,0.00271512597988721
7,lrvb,11,0
7,lrvb,12,0.0359721876195302
7,lrvb,13,0.000336363510009696
7,lrvb,14,0.00124965114883155
7,lrvb,15,0.0359721876195302
7,lrvb,16,0
7,mfvb,1,0
7,mfvb,2,0.00359725430901439
7,mfvb,3,0
7,mfvb,4,0
7,mfvb,5,0.00359725430901439
7,mfvb,6,0
7,mfvb,7,0
7,mfvb,8,0
7,mfvb,9,0
7,mfvb,10,0
7,mfvb,11,0
7,mfvb,12,0.00862185375020135
7,mfvb,13,0
7,mfvb,14,0
7,mfvb,15,0.00862185375020135
7,mfvb,16,0
7,mcmc,1,0
7,mcmc,2,0.00940770077373065
7,mcmc,3,0.000646878338855534
7,mcmc,4,0.000301351955765338
7,mcmc,5,0.00940770077373065
7,mcmc,6,0
7,mcmc,7,0.00234301609684664
7,mcmc,8,0.00109193879724796
7,mcmc,9,0.000646878338855534
7,mcmc,10,0.00234301609684664
7,mcmc,11,0
